"","bigram","n"
"1","NA_NA",55
"2","atl3_2",7
"3","luis_juez",7
"4","bla_bla",4
"5","1_7",3
"6","brote_psicótico",3
"7","derechos_humanos",3
"8","salud_mental",3
"9","t39.1997_6",3
"10","1_utld",2
"11","13_1",2
"12","canal_doce",2
"13","cara_dura",2
"14","caso_límite",2
"15","cometemos_errores",2
"16","fb_obo_1",2
"17","haga_justicia",2
"18","juez_juez",2
"19","juicio_político",2
"20","mal_educado",2
"21","marcelo_cossar",2
"22","persona_enferma",2
"23","pobres_familias",2
"24","pongan_gente",2
"25","problemas_mentales",2
"26","queda_grande",2
"27","renuncie_sra",2
"28","sociedad_cordobesa",2
"29","stp_dst",2
"30","tenor.co_stp",2
"31","utld_tenor.co",2
"32","vos_juez",2
"33","_nc_oc_aqkvrahzvidfjzf6x64dwktww62xw1vld1xguscacmas0r1zabflz0ejf80dxv2wyew",1
"34","00_at_dhdy8wo_8wg9g5f1mprgpuamqucaiwtcsl_uuowjwla",1
"35","1_abstocia",1
"36","100_años",1
"37","12_años",1
"38","1ra_mujer",1
"39","2_años",1
"40","2_muerte",1
"41","24_años",1
"42","24_hs",1
"43","26itemid_3d16216173",1
"44","26itemid_3d20834062",1
"45","2f0684da64463cbcc9075779aea6d67513_2ftenor.gif",1
"46","2fc7e6a4ee93370c1e12017ea65696eeba_2ftenor.gif",1
"47","2fimages_2f0684da64463cbcc9075779aea6d67513",1
"48","2fimages_2fc7e6a4ee93370c1e12017ea65696eeba",1
"49","2fmedia.tenor.co_2fimages",1
"50","2fmedia1_tenor.co",1
"51","2ftenor.gif_3fc",1
"52","2ftenor.gif_3ft",1
"53","3_meses",1
"54","3_motivo",1
"55","30_años",1
"56","3d16216173_fb_obo",1
"57","3d20834062_fb_obo",1
"58","3daaw_dlztpsohsce_0guu1q",1
"59","3dvjffzmfjzwjvb2tfd2viy29tbwvudhm_26itemid",1
"60","3fc_3dvjffzmfjzwjvb2tfd2viy29tbwvudhm",1
"61","3ft_3daaw",1
"62","3l_cursito",1
"63","40_años.y",1
"64","5_rre",1
"65","6_10333122_298592793654253_1393149385_n.png",1
"66","6_105929514_953858501743174_8944555844539874518_n.png",1
"67","6_286164360_3296449307279372_4180344630968550415_n.webp",1
"68","6_meses",1
"69","62e49f5b_jodeme",1
"70","7_familias",1
"71","8_policías",1
"72","9_meses",1
"73","abogados_medicos",1
"74","abría_delincuencia",1
"75","abstocia_causa",1
"76","abuelo_xq",1
"77","acá_vean",1
"78","accionar_policial",1
"79","actúa_km",1
"80","actúa_xq",1
"81","actuan_xq",1
"82","actuarian_uds",1
"83","ala_familia",1
"84","ala_sociedad",1
"85","alcehimer_luisito",1
"86","alguien_aka",1
"87","alguien_drogado",1
"88","alguien_llamo",1
"89","alguien_paga",1
"90","algun_familiar",1
"91","allegados_agotar",1
"92","alos_empleados",1
"93","alta_gama",1
"94","amigos_cállate",1
"95","amorfa.lo_mataron",1
"96","anda_sacando",1
"97","andar_tranquila",1
"98","ande_drogado",1
"99","angelos_jajaja",1
"100","años_juez",1
"101","años_prendidos",1
"102","aparezcan_personas",1
"103","aplicar_violencia",1
"104","apúrate_cara",1
"105","argentina_matar",1
"106","argentina_perejil",1
"107","arma_blanca",1
"108","arman_causas",1
"109","armas_mata",1
"110","armas_otrogadas",1
"111","asen_3l",1
"112","asquerosamente_renuncie",1
"113","atacar_3",1
"114","atacó_alguien",1
"115","atención_médica",1
"116","atención_profesional",1
"117","atrevido_vulgar",1
"118","azul_quieren",1
"119","banco_central",1
"120","barrios_chorean",1
"121","basaldua_hdp",1
"122","birn_circoooooo",1
"123","blablablablabla_inoperante",1
"124","bracamonte_tapo",1
"125","bravo_mujer",1
"126","brote_sicotico",1
"127","brotes_psicóticos",1
"128","bs_as",1
"129","buen_accionar",1
"130","buen_resultado",1
"131","bueno_habra",1
"132","burar_podes",1
"133","busca_justicia",1
"134","buscar_peregiles",1
"135","cagan_electrocutando",1
"136","cagando_tanpoco",1
"137","cagon_jajajajajajaj",1
"138","cagones_muestran",1
"139","caian_birn",1
"140","calidad_ajora",1
"141","calienta_silla",1
"142","cállate_juez",1
"143","calle_libremente",1
"144","callese_sos",1
"145","calzoncillos_sucios",1
"146","camariitas_pa",1
"147","campaña_hsdrmp",1
"148","cana_tira",1
"149","canal_12",1
"150","capacitados_anda",1
"151","cara_nomas",1
"152","caradura_inútil",1
"153","caraduras_váyanse",1
"154","cardíacos_respiratorios",1
"155","cargos_públicos",1
"156","cartera_inútil",1
"157","caso_basaldua",1
"158","caso_blas",1
"159","caso_contrario",1
"160","casos_falla",1
"161","casos_parecidos",1
"162","casos_solicito",1
"163","causa_veo",1
"164","cba_chui",1
"165","cdg2_1",1
"166","cecilia_basualda",1
"167","charlatan_osea",1
"168","che_nene",1
"169","chico_marchen",1
"170","chivo_espiatorio",1
"171","choreti_impresentable",1
"172","choros_delincuentes",1
"173","choros_narcos",1
"174","choros_violadores",1
"175","chuiii.viejo_galllinon",1
"176","cierres_despidos",1
"177","claaaaaa_déjense",1
"178","clase_política",1
"179","coincido_sra",1
"180","colador_personas",1
"181","comentar_piensen",1
"182","conoce_apareció",1
"183","contacto_deberían",1
"184","contención_atención",1
"185","contención_psiquiatrica",1
"186","control_el.min.d",1
"187","controles_sicológicos",1
"188","cordoba_falta",1
"189","córdoba_eliminen",1
"190","corrupcion_descarada",1
"191","corrupcion_policial",1
"192","corrupto_inutil",1
"193","corruptos_abusos",1
"194","corruptos_hdp",1
"195","cortan_cabeza",1
"196","cortar_calle",1
"197","cossar_quieren",1
"198","creen_dueño",1
"199","creen_dueños",1
"200","creen_qvle",1
"201","crisis_digo",1
"202","cualquiera_flaca",1
"203","cubren_hechos",1
"204","cubrí_seguridad",1
"205","culpas_repartidas",1
"206","cumplir_dicha",1
"207","cupula_policial",1
"208","daban_escrito",1
"209","dando_vueltas",1
"210","das_armas",1
"211","debería_actuar",1
"212","debería_llegar",1
"213","debería_retirarla",1
"214","deberian_existir",1
"215","deberían_aplicar",1
"216","deberían_capacitarse",1
"217","débil_schiaretti",1
"218","decís_totalmente",1
"219","decisiones_políticas",1
"220","degen_secuelas",1
"221","degollado_chuiii.viejo",1
"222","degollado_seguís",1
"223","deja_basurear",1
"224","dejan_hechos",1
"225","dejar_vivir",1
"226","delincuentes_ponele",1
"227","demas_socorro",1
"228","demasiadas_cagadas",1
"229","demen_referencias",1
"230","demente_meten",1
"231","depende_mmmm",1
"232","dependencias_policiales",1
"233","derecho_humano",1
"234","descubren_fiscales",1
"235","desear_sr",1
"236","despidos_suspensiones",1
"237","detenido_mire",1
"238","devoción_charlarán",1
"239","dicha_orden",1
"240","dichos_autoritarios",1
"241","diego_concha",1
"242","digo_luis",1
"243","discriminador_juez",1
"244","diste_ocote",1
"245","distintas_circunstancias",1
"246","dlztpsohsce_0guu1q_26itemid",1
"247","dnd_morder",1
"248","doble_moral",1
